Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;5;2;11;143;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;12;63;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;13;71;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;14;2471;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;15;55;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;16;69;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;17;70;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;18;50;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;19;62;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;20;62;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;21;60;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;22;73;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;23;51;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;24;53;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;25;52;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;26;53;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;27;51;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;28;50;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;29;1539;;;;;;;;;;;;;
mmClasicaOpenMP;5;2;30;56;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;1;121;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;2;210;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;3;199;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;4;758;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;5;148;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;6;108;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;7;105;;;;;;;;;;;;;
